"id_field","cd_tab","tablename","fieldname","example","regex_reco","typeof","unit","max_char","min_num","max_num","unique","mandatory","extra","regex_field","ref_table","ref_field","lev_ref","comment"
1,1,"metadata","plot","YaviT1P3","^plot$","varchar","NA",50,"NA","NA","TRUE","TRUE","FALSE","^[A-Za-z0-9_]+$","NA","NA","NA","NA"
2,1,"metadata","register_date","diciembre/01/2014","^register_date$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
3,1,"metadata","latitude","5.09","^latitude(_dec)?$","double precision","ºdec","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
4,1,"metadata","longitude","-74.77","^longitude(_dec)?$","double precision","ºdec","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
5,1,"metadata","altitude","322","^altitude(_m)?$","integer","m","NA",-100,8000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
6,1,"metadata","area","1","^area(_ha)?$","double precision","ha","NA",0,100,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
7,1,"metadata","area_type","Projected horizontal surface","^area_type$","varchar","NA",27,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
8,1,"metadata","plot_type","Permantent, Temporal","^plot_type$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
9,1,"metadata","shape_type","square","^shape_type$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
10,1,"metadata","length","100","^length(_m)?$","integer","m","NA",0,10000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
11,1,"metadata","width","100","^width(_m)?$","integer","m","NA",0,10000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
12,1,"metadata","subplot_area","0.01","^subplot_area(_ha)?$","double precision","ha","NA",0,10,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
13,1,"metadata","region","Magdalena river valley","^region$","varchar","NA",20,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
14,1,"metadata","ecosystem","tropical dry forests","^ecosystem$","varchar","NA",20,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
15,1,"metadata","location_name","Cattle Ranch El Cardonal","^location_name$","varchar","NA",30,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
16,1,"metadata","location_type","Private area","^location_type$","varchar","NA",30,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
17,1,"metadata","state","Tolima","^state$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
18,1,"metadata","country","Colombia","^country$","varchar","NA",10,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
19,1,"metadata","province","Armero","^province$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
20,1,"metadata","terrain_type","Lowland","^terrainType$;^terrain_type$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
21,1,"metadata","forest_composition"," Mixed forest","^forestComposition$;^forest_composition$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
22,1,"metadata","substrate_geology","Pleistocene","^substrateGeology$;^substrate_geology$","varchar","NA",15,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
23,1,"metadata","forest_status","Old-growth ","^forestStatus$;^forest_status$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
24,1,"metadata","forest_age",">100","^forestAge(_yrs)?$;^forest_age(_yrs)?$","varchar","years",6,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
25,1,"metadata","general_slope",">20","^generalSlope(_deg)?$;^general_slope(_deg)?$","varchar","degree",6,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
26,1,"metadata","nearest_anthropogenic_edge","20","^nearestAnthropogenicEdge(_m)?$;^nearest_anthropogenic_edge(_m)?$","integer","m","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
27,1,"metadata","fragment_size","730","^fragmentSize(_ha)?$;^fragment_size(_ha)?$","integer","ha","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
28,1,"metadata","comments","high disturbed landscape","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
29,2,"dates","measuring_type","census0,  census1, traits sampling","^measuringType$;^measuring_type$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
30,2,"dates","event_date","diciembre/01/2014","^eventDate$;^event_date$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
31,2,"dates","comments","sampling period under dry conditios ","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
32,3,"census0","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(.[0-9]{1,2})[a-zA-Z]$;^[A-Za-z][0-9]{1,5}$","NA","NA","NA","NA"
33,3,"census0","taxo_code","Achanigr, Ident, Morfs1, …, "" ""","^taxo_code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z0-9]{5,8}$",9,67,"NA","NA"
34,3,"census0","subplot","1, 2, …, n","^subplot$","integer","NA",,0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
35,3,"census0","ramet","1, 2, …, n","^ramet$","integer","NA",,0,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
36,3,"census0","dbh","10.02, 2.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm",,0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
37,3,"census0","pom","130,  NA, …, 130","^POM(_m)?$;^pom(_m)?$","integer","cm",,0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
38,3,"census0","height","10.02, 22.58, … i","^height(_m)?$","double precision","m",,0,120,"FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
39,3,"census0","comments","Vachellia, no-leaves, … palosangre, "" ""","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
40,4,"xy","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,"NA","NA","NA","NA"
41,4,"xy","individual_x","0.5","^individualX(_m)?$;^individual_x(_m)?$","double precision","m",,10000,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
42,4,"xy","individual_y","1.5","^individualY(_m)?$;^individual_y(_m)?$","double precision","m",,10000,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
43,4,"xy","comments","moved five metres from the base","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
44,5,"aliveStatus","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,"NA","NA","NA","NA"
45,5,"aliveStatus","alive_status","alive, dead, NA, "" ""","^aliveStatus$;^alive_status$","varchar","NA",8,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
46,5,"aliveStatus","comments","tree was not found","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
47,6,"growth","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,4,40,"NA","NA"
48,6,"growth","dbh","11.12, 3.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
49,6,"growth","pom","130,  NA, …, 130","^POM(_cm)?$;^pom(_cm)?$","integer","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
50,6,"growth","alive_status","alive","^aliveStatus$;^alive_status$","varchar","NA",10,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
51,6,"growth","comments","tree is alive but defoliated","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
52,7,"mortality","tag","4, 4a, A4, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,4,40,"NA","NA"
53,7,"mortality","mechanism_of_mortality","standing, broken, uprooted, …, unknown","^mechanismOfMortality$;^mechanism_of_mortality$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
54,7,"mortality","mortality_type","died alone, unknown, died alone, …,  unknown ","^mortalityType$;^mortality_type$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
55,7,"mortality","killer_process","burnt, burnt, killed by liana, …, unknown  ","^killerProcess$;^killer_process$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
56,7,"mortality","comments","there is not totally clear if the tree is dead","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
57,8,"recruitment","tag","1000, 1000a, A1000, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,"NA","NA","NA","NA"
58,8,"recruitment","code","Achanigr, Ident2, Morfs1, …, "" ""","^code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE",,9,67,"NA","NA"
59,8,"recruitment","subplot","1, 2, …, n","^subplot$","integer","NA","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
60,8,"recruitment","ramet","1, 2, …, n","^ramet$","integer","NA","NA",0,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
61,8,"recruitment","dbh","2.61, 2.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
63,8,"recruitment","pom","130, "" "", …, 130","^POM(_cm)?$;^pom(_cm)?$","integer","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
64,8,"recruitment","height","4.02, 5.50, … i","^height(_m)?$","double precision","m","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
65,8,"recruitment","comments","Vachellia, no-leaves, … palosangre, "" ""","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
66,9,"taxonomy","tag","1","^tag$","text","NA","NA","NA","NA","FALSE","TRUE","FALSE",,4,40,"NA","NA"
67,9,"taxonomy","taxo_code","Achanigr","^(taxo_)?code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
68,9,"taxonomy","voucher","RG-1934","^voucher$","varchar","NA",11,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
69,9,"taxonomy","catalog_number","FMB-106177","^catalogNumber$;^catalog_number$","varchar","NA",15,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
70,9,"taxonomy","family","Achatocarpaceae","^family$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
71,9,"taxonomy","genus","Achatocarpus","^genus$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
72,9,"taxonomy","specific_epithet","nigricans","^specificEpithet$;^specific_epithet$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
73,9,"taxonomy","infraspecific_epithet",""" ""","^infraspecificEpithet$;^infraspecific_epithet$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
74,9,"taxonomy","digital_voucher","http://colecciones.humboldt.org.co/rec/imagenes/FMB/FMB-106177/FMB-106177.JPG","^digitalVoucher$;^digital_voucher$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
75,9,"taxonomy","recorded_by","González-M., R.; Nieto, J.; García, D.","^recordedBy$;^recorded_by$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
76,9,"taxonomy","event_date","diciembre/01/2014","^eventDate$;^event_date$","varchar","NA",18,"NA","NA","FALSE","FALSE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
77,9,"taxonomy","identified_by","Idárraga, A.","^identifiedBy$;^identified_by$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
78,9,"taxonomy","identified_date","julio/30/2015","^identifiedDate$;^identified_date$","varchar","NA",18,"NA","NA","FALSE","FALSE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
79,9,"taxonomy","comments","infertil voucher ","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
80,10,"members","first_name","Rene","^firstName$;^first_name$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
81,10,"members","middle_name",""" ""","^middleName$;^middle_name$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
82,10,"members","last_name"," Lopez-Camacho","^lastName$;^last_name$","text","NA","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
83,10,"members","institution","Universidad Distrital Francisco Jose de Caldas","^institution$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
84,10,"members","email","renelopezcamacho@gmail.com","^email$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
85,10,"members","sponsor","Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt","^sponsor$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
86,10,"members","sampling","census0","^sampling$","varchar","NA",10,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
87,10,"members","field_role","Principle Researcher","^fieldRole$;^field_role$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
88,10,"members","comments","Associated professor  at the university","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
