"id_field","cd_tab","tablename","fieldname","example","regex_reco","typeof","unit","max_char","min_num","max_num","mandatory","extra","regex_field","ref_table","ref_field","comment"
50,6,"growth","DBH_cm","11.12, 3.58, … i",,"double precision","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
51,6,"growth","tag","1, 1a, A1, …, na",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
52,7,"mortality","comments","there is not totally clear if the tree is dead",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
53,7,"mortality","killerProcess","burnt, burnt, killed by liana, …, unknown  ",,"varchar","NA",30,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
54,7,"mortality","mortalityType","died alone, unknown, died alone, …,  unknown ",,"varchar","NA",30,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
55,7,"mortality","mechanismOfMortality","standing, broken, uprooted, …, unknown",,"varchar","NA",30,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
56,7,"mortality","tag","4, 4a, A4, …, na",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
57,8,"recruitment","comments","Vachellia, no-leaves, … palosangre, "" """,,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
58,8,"recruitment","height_m","4.02, 5.50, … i",,"double precision","m","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
59,8,"recruitment","POM_cm","130, "" "", …, 130",,"integer","cm","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
60,8,"recruitment","POM_m","1.30 …",,"double precision","m","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
61,8,"recruitment","DBH_cm","2.61, 2.58, … i",,"double precision","cm","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
62,8,"recruitment","ramet","1, 2, …, n",,"integer","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
63,8,"recruitment","subplot","1, 2, …, n",,"integer","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
64,8,"recruitment","code","Achanigr, Ident2, Morfs1, …, "" """,,"varchar","NA",8,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
65,8,"recruitment","tag","1000, 1000a, A1000, …, na",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
66,9,"taxonomy","comments","infertil voucher ",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
67,9,"taxonomy","identifiedDate","julio/30/2015",,"varchar","NA",18,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
68,9,"taxonomy","identifiedBy","Idárraga, A.",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
69,9,"taxonomy","eventDate","diciembre/01/2014",,"varchar","NA",18,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
70,9,"taxonomy","recordedBy","González-M., R.; Nieto, J.; García, D.",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
71,9,"taxonomy","digitalVoucher","http://colecciones.humboldt.org.co/rec/imagenes/FMB/FMB-106177/FMB-106177.JPG",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
72,9,"taxonomy","infraspecificEpithet",""" """,,"varchar","NA",20,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
73,9,"taxonomy","specificEpithet","nigricans",,"varchar","NA",20,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
74,9,"taxonomy","genus","Achatocarpus",,"varchar","NA",20,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
75,9,"taxonomy","family","Achatocarpaceae",,"varchar","NA",20,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
76,9,"taxonomy","catalogNumber","FMB-106177",,"varchar","NA",15,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
77,9,"taxonomy","voucher","RG-1934",,"varchar","NA",11,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
78,9,"taxonomy","code","Achanigr",,"varchar","NA",8,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
79,9,"taxonomy","tag","1",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
80,10,"members","comments","Associated professor  at the university",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
81,10,"members","fieldRole","Principle Researcher",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
82,10,"members","sampling","census0",,"varchar","NA",10,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
83,10,"members","sponsor","Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
84,10,"members","email","renelopezcamacho@gmail.com",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
85,10,"members","institution","Universidad Distrital Francisco Jose de Caldas",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
86,10,"members","lastName"," Lopez-Camacho",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
87,10,"members","middleName",""" """,,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
88,10,"members","firstName","Rene",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
