table,field,recoField,dataType,example,optimalCharacters,typeof,maxChar,minNum,maxNum,mandatory,includedFormat,regex
taxonomy,digitalVoucher,digitalVoucher,character,http://colecciones.humboldt.org.co/rec/imagenes/FMB/FMB-106177/FMB-106177.JPG,character-unlimited,character,,,,F,,
taxonomy,recordedBy,recordedBy,character,"González-M., R.; Nieto, J.; García, D.",character-unlimited,character,,,,F,,
taxonomy,eventDate,eventDate,date,diciembre/01/2014,character–max18,character,18,,,F,,
taxonomy,identifiedBy,identifiedBy,character,"Idárraga, A.",character-unlimited,character,,,,F,,
taxonomy,identifiedDate,identifiedDate,date,julio/30/2015,character–max18,character,18,,,F,,
taxonomy,comments,comments,character,infertil voucher ,character-unlimited,character,,,,F,,
members,firstName,firstName,character,Rene,character-unlimited,character,,,,F,,
members,middleName,middleName,character,""" """,character-unlimited,character,,,,F,,
members,lastName,lastName,character, Lopez-Camacho,character-unlimited,character,,,,T,,
members,institution,institution,character,Universidad Distrital Francisco Jose de Caldas,character-unlimited,character,,,,F,,
members,email,email,character,renelopezcamacho@gmail.com,character-unlimited,character,,,,F,,
members,sponsor,sponsor,character,Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt,character-unlimited,character,,,,F,,
members,sampling,sampling,character,census0,character-max10,character,10,,,F,,
members,fieldRole,fieldRole,character,Principle Researcher,character-unlimited,character,,,,F,,
members,comments,comments,character,Associated professor  at the university,character-unlimited,character,,,,F,,
